PROPERTY TYPE,ADDRESS,CITY,STATE,ZIPCODE,PRICE,BEDS,BATHS,LOCATION,SQFT,LOTSIZE,YEARBUILT,DAYSONMARKET,PPSQFT,HOA,LATITUDE,LONGITUDE
Single Family Residential,7026 30th Pl SW,Seattle,WA,98126,925000,5,3.5,High Point,3130,4184,2017,25,296,161,47.5399375,-122.3709786
Single Family Residential,7021 20th Ave NE,Seattle,WA,98115,1395000,6,3.5,Ravenna,4600,7140,1946,26,303,,47.6801574,-122.3069566
Single Family Residential,2729 45th Ave SW,Seattle,WA,98116,1100000,5,2.25,Admiral,2905,6250,1910,27,379,,47.5784361,-122.3897006
Single Family Residential,3112 E Laurelhurst Dr NE,Seattle,WA,98105,8250000,5,3.25,Laurelhurst,6100,19444,1913,27,1352,,47.6507295,-122.2765739
Single Family Residential,3307 NW 68th St,Seattle,WA,98117,1650000,5,3.5,Sunset Hill,2670,5000,1925,27,618,,47.6780316,-122.4001727
Single Family Residential,8036 25th Ave NW,Seattle,WA,98117,1899950,5,3.5,Loyal Heights,3250,4850,2020,29,585,,47.6879554,-122.3884096
Single Family Residential,9412 12th Ave NE,Seattle,WA,98115,1200000,5,3.5,Maple Leaf,3360,5413,1926,31,357,,47.6971061,-122.3145364
Single Family Residential,4619 S Garden St,Seattle,WA,98118,660000,5,3,Seattle,2800,4000,2005,32,236,,47.5373913,-122.2744486
Single Family Residential,12555 Dayton Ave N,Seattle,WA,98133,775000,5,2.5,Broadview,1910,6287,1955,32,406,,47.7212382,-122.3532488
Single Family Residential,3264 57TH Ave SW,Seattle,WA,98116,1700000,5,3,Alki,4650,18500,1959,33,366,,47.5739328,-122.405072
Single Family Residential,522 N 84th St,Seattle,WA,98103,925000,5,2.5,Greenwood,2800,3300,1914,34,330,,47.6900405,-122.3515593
Single Family Residential,6921 S Langston Rd,Seattle,WA,98178,750000,5,2.75,Earlington,3880,9843,1974,35,193,,47.4855639,-122.246956
Single Family Residential,318 Lee St,Seattle,WA,98109,1999000,5,3.75,Queen Anne,2900,6373,1904,35,689,,47.6316526,-122.3504591
Single Family Residential,815 N 45th St,Seattle,WA,98103,995000,5,1.75,Phinney Ridge,2980,5100,1925,36,334,,47.6613012,-122.347872
Single Family Residential,1411 S 99th St,Seattle,WA,98108,625000,5,2,South Park,2050,5689,1936,37,305,,47.5145296,-122.3168469
Single Family Residential,1918 35th Ave W,Seattle,WA,98199,2450000,6,4.5,Magnolia,5170,5242,2009,40,474,,47.6364989,-122.4008213
Single Family Residential,2004 26th Ave W,Seattle,WA,98199,1675000,5,3.5,Magnolia,3670,6500,1949,40,456,,47.6371843,-122.3901061
Single Family Residential,3516 NE 43rd St,Seattle,WA,98105,1650000,5,3.5,Laurelhurst,4490,5000,1948,40,367,,47.6600841,-122.2894694
Single Family Residential,2306 42nd Ave E,Seattle,WA,98112,2445000,5,3.25,Madison Park,3920,4800,2014,40,624,,47.639373,-122.2781008
Single Family Residential,3850 36th Ave W,Seattle,WA,98199,1975000,5,3.5,Magnolia,3817,6000,2020,41,517,,47.6555871,-122.4030422
Single Family Residential,2701 45th Ave SW,Seattle,WA,98116,799000,5,1.75,Admiral,2260,5750,1955,42,354,,47.5791716,-122.3896739
Single Family Residential,1428 E Ward St,Seattle,WA,98112,3150000,5,4.25,Capitol Hill,5890,5610,1910,43,535,,47.627867,-122.3131659
Single Family Residential,4445 S Frontenac St,Seattle,WA,98118,859950,5,4,Hillman City,2645,5022,2020,44,325,,47.5396004,-122.2761346
Single Family Residential,7863 56th Pl NE,Seattle,WA,98115,2498000,5,3.25,View Ridge,4027,8626,2020,47,620,,47.686474,-122.2684002
Single Family Residential,8518 30th Ave NW,Seattle,WA,98117,1595000,5,3.5,North Beach,3100,7496,2020,51,515,,47.6911732,-122.3955042
Single Family Residential,1817 Madrona Dr,Seattle,WA,98122,2850000,5,5.5,Madrona,4559,5091,2020,56,625,,47.6180146,-122.2851654
Single Family Residential,948 Harvard Ave E,Seattle,WA,98102,3250000,6,3.5,Capitol Hill,7950,7500,1909,57,409,,47.6282915,-122.3220225
Single Family Residential,7751 37th Ave NE,Seattle,WA,98115,2099000,5,3.25,Wedgwood,3610,4000,2020,57,581,,47.6863846,-122.2888103
Single Family Residential,3428 11th Ave W,Seattle,WA,98119,2400000,5,4.5,Queen Anne,3270,6000,2014,59,734,,47.6513984,-122.3711461
Single Family Residential,6546 25th Ave NW,Seattle,WA,98117,1698000,5,3.75,Loyal Heights,3258,5100,2020,60,521,,47.6772491,-122.3883934
Single Family Residential,6533 21st Ave NW,Seattle,WA,98117,999000,5,3.75,Loyal Heights,2700,5100,1928,63,370,,47.6769079,-122.3834979
Single Family Residential,8019 14th Ave NW,Seattle,WA,98117,1589000,5,3.5,Ballard,3710,5080,2016,63,428,,47.6875574,-122.3743858
Single Family Residential,3827 49th Ave NE,Seattle,WA,98105,2350000,5,3.75,Laurelhurst,3240,6300,1981,64,725,,47.6562935,-122.2749534
Single Family Residential,1411 SW Myrtle St,Seattle,WA,98106,649950,5,2,Highland Park,1750,8505,1958,65,371,,47.5389011,-122.3532405
Single Family Residential,5447 21st Ave SW,Seattle,WA,98106,1045000,5,3.75,Delridge,2784,5465,2020,67,375,,47.552371,-122.3604108
Single Family Residential,4911 NE Laurelcrest Ln,Seattle,WA,98105,11950000,6,6.5,Laurelhurst,9590,34665,2008,67,1246,,47.6531779,-122.2758925
Single Family Residential,8504 S 125th St,Renton,WA,98057,950000,5,2.75,Bryn Mawr,3640,10713,1963,68,261,,47.491166,-122.225632
Single Family Residential,12049 20th Ave NE,Seattle,WA,98125,1375950,5,3,Victory Heights,3273,7486,2020,69,420,,47.7170925,-122.3072043
Single Family Residential,4031 42nd Ave S,Seattle,WA,98118,1100000,5,2.75,Mt Baker,3754,6000,1920,70,293,,47.5669842,-122.2810646
Single Family Residential,2015 McGilvra Blvd E,Seattle,WA,98112,2275000,5,4.25,Madison Park,3760,4000,2017,71,605,,47.637436,-122.2811284
Single Family Residential,541 N 105th St,Seattle,WA,98133,749000,5,3,Greenwood,2015,3844,1916,71,372,,47.7048833,-122.3509582
Single Family Residential,402 W Galer St,Seattle,WA,98119,1515000,5,4,Queen Anne,2849,4440,1905,71,532,,47.6325561,-122.3626801
Single Family Residential,219 37th Ave E,Seattle,WA,98112,3150000,5,2.75,Denny Blaine,4940,8000,1909,72,638,,47.6207113,-122.2861448
Single Family Residential,222 NW 95th St,Seattle,WA,98117,1658000,5,3,Greenwood,3590,6900,2019,72,462,,47.6980352,-122.3601582
Single Family Residential,1511 E Alder St,Seattle,WA,98122,900000,6,1.75,Capitol Hill,4433,3360,1904,76,203,,47.6041739,-122.3122762
Single Family Residential,5704 S Leo St,Seattle,WA,98178,585000,5,1.75,Rainier Beach,2320,7242,1966,78,252,,47.5026913,-122.2610509
Single Family Residential,1503 8th Ave W,Seattle,WA,98119,3375000,5,3.75,Queen Anne,4181,3300,1907,79,807,,47.6324802,-122.3680698
Single Family Residential,3715 41st Ave S,Seattle,WA,98144,2999000,5,3.5,Mt Baker,5034,5150,2020,82,596,,47.57018,-122.282125
Single Family Residential,7351 33rd Ave NE,Seattle,WA,98115,2150000,5,3.5,Bryant,3654,6996,2020,85,588,,47.6825103,-122.2930835
Single Family Residential,4731 Thackeray Pl NE,Seattle,WA,98105,2395000,6,5.25,Wallingford,4160,4080,1924,92,576,,47.6640754,-122.3264574
Single Family Residential,9046 12th Ave NW,Seattle,WA,98117,915000,5,1.75,Crown Hill,2624,8192,1929,96,349,,47.6955351,-122.3710898
Single Family Residential,7573 Lake City Way NE,Seattle,WA,98115,674995,5,1.75,Maple Leaf,1400,5388,1924,102,482,,47.6850114,-122.3156442
Single Family Residential,9207 9th Ave NW,Seattle,WA,98117,1579995,6,4.25,Crown Hill,3478,5425,2020,103,454,,47.6962969,-122.368968
Single Family Residential,1052 E Galer St,Seattle,WA,98102,5980000,5,3.25,Capitol Hill,7834,37249,1911,109,763,,47.6324976,-122.3188011
Single Family Residential,3403 E Saint Andrews Way,Seattle,WA,98112,1895000,5,3,Broadmoor,4420,7200,1940,133,429,165,47.6295667,-122.2880422
Single Family Residential,5219 Columbia Dr S,Seattle,WA,98108,1950000,5,3.5,Beacon Hill,4833,8640,2020,138,403,,47.5553106,-122.3052485
Single Family Residential,9215 9th Ave NW,Seattle,WA,98117,875000,5,2,Crown Hill,2560,8810,1924,153,342,,47.6965609,-122.3689133
Single Family Residential,1721 33rd Ave,Seattle,WA,98122,1350000,5,3.5,Madrona,4080,4000,1996,167,331,,47.6170875,-122.29058
Single Family Residential,2113 Aurora Ave N,Seattle,WA,98109,1425000,5,3.75,Westlake,2460,4600,1900,179,579,,47.6379063,-122.3450851
Single Family Residential,768 Belmont Pl E,Seattle,WA,98102,1550000,6,2,Capitol Hill,3610,4200,1902,218,429,,47.6272825,-122.3240007
Single Family Residential,1228 23rd Ave E,Seattle,WA,98112,1750000,5,5.25,North Capitol Hill,5456,8448,1908,259,321,,47.6311564,-122.301912
Single Family Residential,2326 W Viewmont Way W,Seattle,WA,98199,1995000,5,4,Magnolia,3910,5350,1933,260,510,,47.639269,-122.4077813
Single Family Residential,1560 30th Ave W,Seattle,WA,98199,1925000,5,2.5,Magnolia,3110,5000,1939,267,619,,47.6334627,-122.3954587
Single Family Residential,421 W Highland Dr,Seattle,WA,98119,7990000,5,5.25,Queen Anne,7900,22500,1905,268,1011,,47.6293293,-122.3627299
Single Family Residential,7016 55th Ave S,Seattle,WA,98118,5249000,6,3.5,Seward Park,5320,59199,2003,272,987,,47.5387868,-122.2620614
Single Family Residential,2349 41st Ave E,Seattle,WA,98112,1995000,5,3.25,Madison Park,3300,3600,2002,273,605,,47.6405467,-122.2799693
Single Family Residential,5770 S Oaklawn Pl,Seattle,WA,98118,3350000,5,3.75,Seward Park,5640,48644,1954,292,594,,47.5438858,-122.2586187
Single Family Residential,11838 79th Ave S,Seattle,WA,98178,1138888,6,3.75,Lakeridge,3635,4773,2020,413,313,,47.4966819,-122.2338695
Single Family Residential,12005 30th Ave SW,Burien,WA,98146,2950000,5,5.75,Shorewood,6661,45136,2006,658,443,25,47.49487,-122.37491
